python-cssselect 1.2.0-6
qemu-base 9.0.1-1
qemu-chardev-spice 9.0.1-1
qemu-hw-usb-host 9.0.1-1
qogir-gtk-theme-git 2024.05.22.r5.g8899c63-1
qogir-icon-theme-git 2023.06.05.r49.ge5c804ee-1
qpdfview 0.5.0-3
qt5-3d 5.15.14-1
qt5ct 1.8-1
rate-mirrors 0.18.0-1
reflector-simple 3.3-1
reiserfsprogs 3.6.27-5
ripgrep 14.1.0-1
ristretto 0.13.2-1
rockyou 1.2.1-1
rofi 1.7.5-3
rsync 3.3.0-2
rustscan 2.2.3-2
sagemath 10.3-6
sed 4.9-3
selene 0.27.1-1
shadow 4.16.0-1
skippy-xd-git 2024.06.19.r25.g9e66332-1
snapper-support 1.1.2-3
snapper-tools 1.1.3-1.2
sof-firmware 2024.03-1
sshfs 3.7.3-1
stylua 0.20.0-3
sudo 1.9.15.p5-1
swig 4.2.1-3
systemd 256.2-1
systemd-sysvcompat 256.2-1
tar 1.35-2
terminus-font 4.49.1-6
texlive-basic 2024.2-2
texlive-bibtexextra 2024.2-2
texlive-binextra 2024.2-2
texlive-context 2024.2-2
texlive-fontsextra 2024.2-2
texlive-fontsrecommended 2024.2-2
texlive-fontutils 2024.2-2
texlive-formatsextra 2024.2-2
texlive-games 2024.2-2
texlive-humanities 2024.2-2
texlive-latex 2024.2-2
texlive-latexextra 2024.2-2
texlive-latexrecommended 2024.2-2
texlive-luatex 2024.2-2
texlive-mathscience 2024.2-2
texlive-metapost 2024.2-2
texlive-music 2024.2-2
texlive-pictures 2024.2-2
texlive-plaingeneric 2024.2-2
texlive-pstricks 2024.2-2
texlive-publishers 2024.2-2
texlive-xetex 2024.2-2
thunar 4.18.10-2
thunar-archive-plugin 0.5.2-1
thunar-media-tags-plugin 0.4.0-2
thunar-volman 4.18.0-1
tint2 17.0.2-4
tixati 3.25-1
traceroute 2.1.5-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fantasque-sans-mono 1.8.0-2
ttf-fira-sans 1:4.301-2
ttf-iosevkaterm-nerd 3.2.1-2
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
ttyper 1.5.0-1
tumbler 4.18.2-1
ubridge 0.9.18-1
ubridge-debug 0.9.18-1
ufw 0.36.2-4
ugrep 6.1.0-1
unace 2.5-11
unarchiver 1.10.8-2
unarj 2.65-1
unrar 1:7.0.9-1
unzip 6.0-21
update-grub 0.0.1-8
usbutils 017-1
util-linux 2.40.1-1
vi 1:070224-6
viewnior 1.8-5
vim 9.1.0496-1
vim-runtime 9.1.0496-1
virt-manager 4.1.0-3
volatility3 2.7.0-1
websocat 1.13.0-1
wget 1.24.5-3
which 2.21-6
whois 5.5.23-1
wireless-regdb 2024.05.08-1
wireless_tools 30.pre9-4
wireplumber 0.5.5-1
wireshark-qt 4.2.5-2
wmctrl 1.07-6
wqy-zenhei 0.9.45-9
xarchiver 0.5.4.23-1
xautolock 2.2-6
xbindkeys 1.8.7-4
xcape 1.2-4
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-gtk 1.15.1-2
xdg-user-dirs 0.18-1
xdg-utils 1.2.1-1
xdotool 3.20211022.1-1
xfce4-power-manager 4.18.4-1
xfce4-terminal 1.1.3-1
xfsprogs 6.8.0-2
xorg-server 21.1.13-1
xorg-server-xephyr 21.1.13-1
xorg-xbacklight 1.2.3-3
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkill 1.0.6-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-1
xorg-xsetroot 1.1.3-1
xorg-xwininfo 1.1.6-1
xsel 1.2.1-1
xz 5.6.2-1
yad 14.0-1
zenity 4.0.1-1
zip 3.0-11
